question,ground_truth,contexts,source_pdf
"What are the provisions in the Anugraha Narayan Sinha Institute of Social Studies Act, 1964, that pertain to the establishment of the Institute Fund, the budget of the Institute, and the power of the Board to make rules and regulations?","The provisions in the Anugraha Narayan Sinha Institute of Social Studies Act, 1964, that pertain to the establishment of the Institute Fund, the budget of the Institute, and the power of the Board to make rules and regulations are as follows: The Institute Fund is established in Section 9 of the Act. Section 10 deals with the budget of the Institute. Section 16 of the Act empowers the Board to make rules not inconsistent with the provisions of the Act, and Section 17 empowers the Board to make regulations consistent with the Act and the Rules framed thereunder.","['Section 9 of the Act provides for the establishment of Institute Fund', 'Section 10 deals with the budget of the Institute', 'Section 16 of the Act empowers the Board to make rules', 'Section 17 empowers the Board to make regulations']",22776-2018___supremecourt__2018__22776__22776_2018_Judgement_30-Jan-2019.pdf
"In the given legal document, what are the six categories of goods that are considered as 'inputs' according to Rule 2(g) of the CENVAT Credit Rules, 2002?","The six categories of goods that are considered as 'inputs' according to Rule 2(g) of the CENVAT Credit Rules, 2002 are: (a) lubricating oils, greases, cutting oils, and coolants, (b) accessories, (c) paints, (d) packing materials, (e) input used as fuel, and (f) input used for generation of steam or electricity.","[""The term 'inputs' in Rule 2(g) of the 2002 Rules can be divided into three parts... Coming to the inclusive part of the definition one finds that it covers..."", 'In our earlier discussion, we have referred to two considerations as irrelevant... We are of the view that consideration such as input being used as packing material, input used as fuel, input used for generation of electricity or steam, input used as an accessory and input used as paint are per se not relevant.']",15599-2007___jonew__judis__37183.pdf
"What benefits were daily rated employees working with the Respondent - Board entitled to upon their completion of 10 years of service, as per the judgment and order passed by the learned Single Judge?","The daily rated employees working with the Respondent - Board were entitled to the pay scale of Rs.950-1500 and all consequential benefits upon completion of 10 years of service, as per the judgment and order passed by the learned Single Judge.","['The learned Single Judge allowed the writ petition and directed the Board to grant the benefits of pay scale of Rs.950-1500 to the original writ petitioners – daily rated employees with all consequential benefits upon completion of 10 years of service and revised their pay scales as per 5th, 6th and 7th Pay Commission scales on such basis.', 'It appears that the respective original writ petitioners sent various representations to the Board to place them in the pay scale of Rs.950-1500 as per the Resolutions dated 01.05.1991 & 15.02.1992 and further revision of pay to the extent of Rs.3050-4590.']",25552-2020___supremecourt__2020__25552__25552_2020_43_1501_32216_Judgement_17-Dec-2021.pdf
"Given the case details, can the dying declaration of the deceased Gowramma be relied upon, considering the doctor's statement about giving sedatives to the deceased?","Yes, the dying declaration can be relied upon, despite the doctor giving sedatives to the deceased, as the doctor himself stated that Gowramma was in a position to give a statement and was conscious.","['PW-4 Dr. Parthasarathy stated that Gowramma was in a position to give statement and, therefore, he permitted PW-5 HC Ramachari to record her statement.', 'PW-4 Dr. Parthasarathy denied the suggestion that when he recorded the statement of Gowramma she was not in a position to give statement.']",32746-2007___jonew__judis__40965.pdf
"Given the case details in the provided document, who was found guilty of the offences under Section 304B and 498A IPC by the High Court?",The appellant was found guilty of the offences under Section 304B and 498A IPC by the High Court.,"['The High Court found that the appellant has not been able to rebut the presumption and was thus guilty of the offences under Section 304B as well as under Section 498A IPC.', 'The High Court, further, held that since the prosecution has been able to prove both the fact of demand of dowry in the shape of television, fridge and cooler and the fact of harassment or cruelty meted out to the deceased soon before her death, the presumption under Section 113B of the Evidence Act was attracted and the appellant has not been able to rebut the presumption and was thus guilty of the offences under Section 304B as well as under Section 498A IPC.']",60155-2007___jonew__judis__40156.pdf
What was the minimum educational requirement for joining the Nursing Auxiliary Programme according to the regulations amended by the Indian Nursing Council on 21.10.2016?,The minimum educational requirement provided for joining the Nursing Auxiliary Programme was to be 12 years of schooling.,"['The INC again amended the regulations on 21.10.2016. These amendments were made applicable with effect from July 2012. The course was made into a two-year course. The minimum qualification provided for joining the course was to be 12 years of schooling.', ""The relevant extract of the said amended criteria is as follows: 'The minimum educational requirement shall be the passing of 12 years of schooling (10+2 year course) recognised by CBSE/ICSE/SSSCE/HSCE or a recognised equivalent examination.'""]",6592-2018___supremecourt__2018__6592__6592_2018_37_1502_27280_Judgement_25-Mar-2021.pdf
"Given the context of the case, what was the cause of death of Chandrakala Hiraman Murkute according to the post-mortem report?","The cause of death of Chandrakala Hiraman Murkute was cardio-respiratory failure due to shock caused by extensive burns, as per the post-mortem report.","[""Page 3, Line 3: 'Death due to cardio-respiratory failure (due) to shock due to extensive burns 91% superficial to deep.'"", ""Page 5, Line 4: 'Thus, there is no dispute over the cause of death.'""]",21034-2006___jonew__judis__40005.pdf
"Given the judgment in TRF Ltd. v. Energo Engineering Projects Ltd., (2017) 8 SCC 377, and the amendments made in the Arbitration and Conciliation Act, 1996, can a Managing Director of a company who is a party to an arbitration, be appointed as an arbitrator, and if not, what are the consequences of such an appointment?","No, a Managing Director of a company who is a party to an arbitration cannot be appointed as an arbitrator. Such an appointment would be void ab initio (from the beginning). If a Managing Director is appointed as an arbitrator, it would be deemed as a waiver of the right to object to non-compliance with the provisions of the Arbitration and Conciliation Act, 1996.","['The appointment of Shri Khan goes to eligibility to be appointed as an arbitrator, as a result of which the appointment made is void ab initio.', 'The judgment in TRF Ltd. (supra) is declaratory of the law and would apply to the facts of this case.']",1070-2018___supremecourt__2018__1070__1070_2018_Judgement_16-Apr-2019.pdf
"What were the circumstances leading to the death of Ratna Kumari, as detailed in the provided legal document?","Ratna Kumari was a well-qualified woman who had an inter-caste marriage with the appellant in 1991. Their marriage was not happy, and they separated after filing and getting a divorce. Ratna Kumari was giving tuitions to students in a rented premises in Vijianagaram. On 15th April 2000, she was admitted to the Government Headquarter Hospital with 44% burns, which she claimed were caused by a stove full of kerosene oil falling on her. However, in a dying declaration recorded on 28th April 2000, she alleged that on 14th April 2000, the appellant poured kerosene on her body and threw a burning stove on her, causing her severe burn injuries. Ratna Kumari expired on 3rd June 2000 in the hospital.","['The appellant and Ratna Kumari had an inter-caste marriage in 1991.', 'Ratna Kumari was giving tuitions to students in a rented premises in Vijianagaram.', 'On 15th April 2000, Ratna Kumari was admitted to the Government Headquarter Hospital with 44% burns.', 'In a dying declaration recorded on 28th April 2000, Ratna Kumari alleged that the appellant poured kerosene on her body and threw a burning stove on her.']",3104-2007___jonew__judis__40445.pdf
"Given that the appellant's date of birth is confirmed to be 31st August 1974, and the offence is alleged to have been committed in May 1988, was the appellant a juvenile or child as defined by Section 2(k) of the Juvenile Justice (Care and Protection of Children) Act, 2000 on the date of occurrence of the offence?","Yes, the appellant was a juvenile or child as defined by Section 2(k) of the Juvenile Justice (Care and Protection of Children) Act, 2000 on the date of occurrence of the offence.","[""The appellant's date of birth was confirmed to be 31st August 1974."", 'The offence is alleged to have been committed in May 1988.']",12497-2003___jonew__judis__40541.pdf
